station_id,station_lat,station_lon,station_type,observation_time,forecast_issue_time,forecast_valid_time,lead_time_hours,observed_temperature_c,gfs_temperature_c,station_elevation_m,gfs_reference_elevation_m,elevation_difference_m,observation_qc,forecast_cycle,forecast_hour,gfs_grid_lat,gfs_grid_lon,forecast_source,forecast_file
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-06T12:00:00,2023-01-05T00:00:00,2023-01-06T12:00:00,36,26.8,26.59,558.0,677.98,-119.98,1,00z,36,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230105_00_036_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-06T12:00:00,2023-01-05T00:00:00,2023-01-06T12:00:00,36,30.0,25.89,11.27,0.86,10.41,1,00z,36,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230105_00_036_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-06T00:00:00,2023-01-05T12:00:00,2023-01-06T00:00:00,12,19.4,21.96,558.0,677.98,-119.98,1,12z,12,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230105_12_012_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-06T00:00:00,2023-01-05T12:00:00,2023-01-06T00:00:00,12,24.0,25.14,11.27,0.86,10.41,1,12z,12,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230105_12_012_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-06T12:00:00,2023-01-05T12:00:00,2023-01-06T12:00:00,24,26.8,25.73,558.0,677.98,-119.98,1,12z,24,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230105_12_024_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-06T12:00:00,2023-01-05T12:00:00,2023-01-06T12:00:00,24,30.0,25.91,11.27,0.86,10.41,1,12z,24,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230105_12_024_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-07T00:00:00,2023-01-05T12:00:00,2023-01-07T00:00:00,36,17.4,20.22,558.0,677.98,-119.98,1,12z,36,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230105_12_036_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-07T00:00:00,2023-01-05T12:00:00,2023-01-07T00:00:00,36,26.0,25.65,11.27,0.86,10.41,1,12z,36,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230105_12_036_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-06T12:00:00,2023-01-06T00:00:00,2023-01-06T12:00:00,12,26.8,25.39,558.0,677.98,-119.98,1,00z,12,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230106_00_012_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-06T12:00:00,2023-01-06T00:00:00,2023-01-06T12:00:00,12,30.0,25.48,11.27,0.86,10.41,1,00z,12,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230106_00_012_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-07T00:00:00,2023-01-06T00:00:00,2023-01-07T00:00:00,24,17.4,18.99,558.0,677.98,-119.98,1,00z,24,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230106_00_024_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-07T00:00:00,2023-01-06T00:00:00,2023-01-07T00:00:00,24,26.0,25.28,11.27,0.86,10.41,1,00z,24,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230106_00_024_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-07T12:00:00,2023-01-06T00:00:00,2023-01-07T12:00:00,36,26.0,26.9,558.0,677.98,-119.98,1,00z,36,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230106_00_036_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-07T12:00:00,2023-01-06T00:00:00,2023-01-07T12:00:00,36,29.0,26.65,11.27,0.86,10.41,1,00z,36,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230106_00_036_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-07T00:00:00,2023-01-06T12:00:00,2023-01-07T00:00:00,12,17.4,18.33,558.0,677.98,-119.98,1,12z,12,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230106_12_012_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-07T00:00:00,2023-01-06T12:00:00,2023-01-07T00:00:00,12,26.0,25.74,11.27,0.86,10.41,1,12z,12,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230106_12_012_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-07T12:00:00,2023-01-06T12:00:00,2023-01-07T12:00:00,24,26.0,26.49,558.0,677.98,-119.98,1,12z,24,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230106_12_024_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-07T12:00:00,2023-01-06T12:00:00,2023-01-07T12:00:00,24,29.0,27.06,11.27,0.86,10.41,1,12z,24,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230106_12_024_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-08T00:00:00,2023-01-06T12:00:00,2023-01-08T00:00:00,36,14.6,17.23,558.0,677.98,-119.98,1,12z,36,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230106_12_036_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-08T00:00:00,2023-01-06T12:00:00,2023-01-08T00:00:00,36,25.0,25.19,11.27,0.86,10.41,1,12z,36,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230106_12_036_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-07T12:00:00,2023-01-07T00:00:00,2023-01-07T12:00:00,12,26.0,26.23,558.0,677.98,-119.98,1,00z,12,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230107_00_012_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-07T12:00:00,2023-01-07T00:00:00,2023-01-07T12:00:00,12,29.0,26.44,11.27,0.86,10.41,1,00z,12,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230107_00_012_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-08T00:00:00,2023-01-07T00:00:00,2023-01-08T00:00:00,24,14.6,17.18,558.0,677.98,-119.98,1,00z,24,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230107_00_024_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-08T00:00:00,2023-01-07T00:00:00,2023-01-08T00:00:00,24,25.0,24.78,11.27,0.86,10.41,1,00z,24,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230107_00_024_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-08T12:00:00,2023-01-07T00:00:00,2023-01-08T12:00:00,36,26.8,26.18,558.0,677.98,-119.98,1,00z,36,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230107_00_036_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-08T12:00:00,2023-01-07T00:00:00,2023-01-08T12:00:00,36,29.0,25.38,11.27,0.86,10.41,1,00z,36,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230107_00_036_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-08T00:00:00,2023-01-07T12:00:00,2023-01-08T00:00:00,12,14.6,16.97,558.0,677.98,-119.98,1,12z,12,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230107_12_012_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-08T00:00:00,2023-01-07T12:00:00,2023-01-08T00:00:00,12,25.0,24.9,11.27,0.86,10.41,1,12z,12,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230107_12_012_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-08T12:00:00,2023-01-07T12:00:00,2023-01-08T12:00:00,24,26.8,25.77,558.0,677.98,-119.98,1,12z,24,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230107_12_024_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-08T12:00:00,2023-01-07T12:00:00,2023-01-08T12:00:00,24,29.0,25.37,11.27,0.86,10.41,1,12z,24,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230107_12_024_subset.grib2
43063099999,18.5333333,73.85,Synoptic/Airport,2023-01-09T00:00:00,2023-01-07T12:00:00,2023-01-09T00:00:00,36,10.2,16.35,558.0,677.98,-119.98,1,12z,36,18.5,73.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230107_12_036_subset.grib2
43003099999,19.088686,72.867919,Synoptic/Airport,2023-01-09T00:00:00,2023-01-07T12:00:00,2023-01-09T00:00:00,36,24.0,24.56,11.27,0.86,10.41,1,12z,36,19.0,72.75,NOAA NCEI GFS Archive,experiments/phase6/data/raw/gfs_20230107_12_036_subset.grib2
